Sun May  7 13:04:21 2017,1784,B,$294,
Sun May  7 13:05:23 2017,454,A,$310,
Sun May  7 13:05:23 2017,454,B,$294,
Sun May  7 13:05:23 2017,454,C,$129,
Sun May  7 13:05:23 2017,281,A,$310,
Sun May  7 13:05:23 2017,281,B,$294,
Sun May  7 13:05:23 2017,281,C,$204,
Sun May  7 13:05:23 2017,546,A,$310,
Sun May  7 13:05:23 2017,546,B,$294,
Sun May  7 13:05:23 2017,685,A,Sold Out,
Sun May  7 13:05:23 2017,685,B,$310,
Sun May  7 13:05:23 2017,1057,A,$294,
Sun May  7 13:05:23 2017,1057,B,Sold Out,
Sun May  7 13:05:23 2017,1784,A,$310,
Sun May  7 13:05:23 2017,1784,B,$294,
